$\mu_{h_1}$,$\mu_{h_2}$,$\mu_{x_1}$,$\mu_{x_2}$,success_rate,Average p-value,Wrong_ranking_cost_without_no_proportion
0.1,0.1,3.2,3.2,0.302,,
0.1,0.1,3.3,3.3,0.302,,
0.1,0.1,3.4,3.4,0.246,,
0.1,0.1,3.5,3.5,0.288,,
0.1,0.1,3.6,3.6,0.232,,
0.1,0.1,3.7,3.7,0.232,,
0.1,0.1,3.8,3.8,0.242,,
0.1,0.1,3.9,3.9,0.212,,
0.1,0.1,4.0,4.0,0.23,,
0.1,0.1,4.1,4.1,0.226,,
0.1,0.1,4.2,4.2,0.206,,
0.1,0.1,4.3,4.3,0.202,,
0.1,0.1,4.4,4.4,0.198,,
0.1,0.1,4.5,4.5,0.238,,
0.1,0.1,4.6,4.6,0.186,,
0.1,0.1,4.7,4.7,0.216,,
0.1,0.1,4.8,4.8,0.196,,
0.1,0.1,4.9,4.9,0.206,,
0.1,0.1,5.0,5.0,0.178,,
0.1,0.1,5.1,5.1,0.186,,
0.1,0.1,5.2,5.2,0.206,,
0.1,0.1,5.3,5.3,0.19,,
0.1,0.1,5.4,5.4,0.222,,
0.1,0.1,5.5,5.5,0.2,,
0.1,0.1,5.6,5.6,0.204,,
0.1,0.1,5.7,5.7,0.222,,
0.1,0.1,5.8,5.8,0.2,,
0.1,0.1,5.9,5.9,0.208,,
0.1,0.1,6.0,6.0,0.21,,
0.1,0.1,6.1,6.1,0.216,,
0.1,0.1,6.2,6.2,0.196,,
0.1,0.1,6.3,6.3,0.208,,
0.1,0.1,6.4,6.4,0.202,,
0.1,0.1,6.5,6.5,0.194,,
0.1,0.1,6.6,6.6,0.222,,
0.1,0.1,6.7,6.7,0.166,,
0.1,0.1,6.8,6.8,0.216,,
0.1,0.1,6.9,6.9,0.196,,
0.1,0.1,7.0,7.0,0.216,,
0.1,0.1,7.1,7.1,0.188,,
0.1,0.1,7.2,7.2,0.232,,
0.1,0.1,7.3,7.3,0.188,,
0.1,0.1,7.4,7.4,0.184,,
0.1,0.1,7.5,7.5,0.19,,
0.1,0.1,7.6,7.6,0.206,,
0.1,0.1,7.7,7.7,0.222,,
0.1,0.1,7.8,7.8,0.218,,
0.1,0.1,7.9,7.9,0.182,,
0.1,0.1,8.0,8.0,0.21,,
0.1,0.1,8.1,8.1,0.194,,
0.1,0.1,8.2,8.2,0.196,,
0.1,0.1,8.3,8.3,0.212,,
0.1,0.1,8.4,8.4,0.198,,
0.1,0.1,8.5,8.5,0.218,,
0.1,0.1,8.6,8.6,0.174,,
0.1,0.1,8.7,8.7,0.19,,
0.1,0.1,8.8,8.8,0.18,,
0.1,0.1,8.9,8.9,0.23,,
0.1,0.1,9.0,9.0,0.196,,
0.1,0.1,9.1,9.1,0.186,,
0.1,0.1,9.2,9.2,0.152,,
0.1,0.1,9.3,9.3,0.222,,
0.1,0.1,9.4,9.4,0.212,,
0.1,0.1,9.5,9.5,0.206,,
0.1,0.1,9.6,9.6,0.2,,
0.1,0.1,9.7,9.7,0.19,,
0.1,0.1,9.8,9.8,0.186,,
0.1,0.1,9.9,9.9,0.188,,
0.1,0.1,10.0,10.0,0.18,,
0.1,0.1,10.1,10.1,0.172,,
0.1,0.1,10.2,10.2,0.19,,
0.1,0.1,10.3,10.3,0.198,,
0.1,0.1,10.4,10.4,0.194,,
0.1,0.1,10.5,10.5,0.224,,
0.1,0.1,10.6,10.6,0.224,,
0.1,0.1,10.7,10.7,0.206,,
0.1,0.1,10.8,10.8,0.188,,
0.1,0.1,10.9,10.9,0.194,,
0.1,0.1,11.0,11.0,0.188,,
0.1,0.1,11.1,11.1,0.174,,
0.1,0.1,11.2,11.2,0.208,,
0.1,0.1,11.3,11.3,0.172,,
0.1,0.1,11.4,11.4,0.224,,
0.1,0.1,11.5,11.5,0.184,,
0.1,0.1,11.6,11.6,0.2,,
0.1,0.1,11.7,11.7,0.234,,
0.1,0.1,11.8,11.8,0.176,,
0.1,0.1,11.9,11.9,0.172,,
0.1,0.1,12.0,12.0,0.2,,
0.1,0.1,12.1,12.1,0.216,,
0.1,0.1,12.2,12.2,0.214,,
