n,$\mu_{m_1}$,$\sigma_{m_1}$,$\mu_{h_{pred}}$,$\sigma_{h_{pred}}$,$\mu_{h_1}$,$\sigma_{h_1}$,$x_{max}$ opt No.,$x_{max}$,$CDM$ opt No.,$CDM$,Iterations,no:yes,after_replication_no:yes
5,24,0,8.021899999997851,0.7082640405723547,7.654254878470467,0.754573405674183,1,8.854,1,8.854,11907,0.6216216216216216,4.714285714285714
5,24,0,8.021899999997851,0.7082640405723547,7.654254878470467,0.754573405674183,4,9.669,0,7.081,5283,0.8461538461538461,4.714285714285714
5,24,0,8.021899999997851,0.7082640405723547,7.654254878470467,0.754573405674183,1,8.1,1,8.1,14242,1.105263157894737,4.714285714285714
5,24,0,8.021899999997851,0.7082640405723547,7.654254878470467,0.754573405674183,2,7.59,2,7.59,9903,5.666666666666667,4.714285714285714
5,24,0,8.021899999997851,0.7082640405723547,7.654254878470467,0.754573405674183,1,8.489,3,8.112,3192,2.1578947368421053,4.714285714285714
5,24,0,8.021899999997851,0.7082640405723547,7.654254878470467,0.754573405674183,2,7.03,2,7.03,1590,11.0,4.714285714285714
5,24,0,8.021899999997851,0.7082640405723547,7.654254878470467,0.754573405674183,3,9.174,3,9.174,6087,0.8461538461538461,4.714285714285714
5,24,0,8.021899999997851,0.7082640405723547,7.654254878470467,0.754573405674183,4,7.034,4,7.034,23941,9.909090909090908,4.714285714285714
5,24,0,8.021899999997851,0.7082640405723547,7.661322485215055,0.7404811605306418,2,8.976,2,8.976,3645,1.8571428571428572,11.0
5,24,0,8.021899999997851,0.7082640405723547,7.661322485215055,0.7404811605306418,2,8.425,2,8.425,9174,1.8571428571428572,11.0
5,24,0,8.021899999997851,0.7082640405723547,7.661322485215055,0.7404811605306418,4,8.432,4,8.432,15490,2.0,11.0
5,24,0,8.021899999997851,0.7082640405723547,7.661322485215055,0.7404811605306418,3,7.461,1,7.168,856,7.571428571428571,11.0
5,24,0,8.021899999997851,0.7082640405723547,7.661322485215055,0.7404811605306418,2,9.987,3,6.897,8935,1.6666666666666667,11.0
5,24,0,8.021899999997851,0.7082640405723547,7.661322485215055,0.7404811605306418,1,8.363,2,7.701,7593,1.2641509433962264,11.0
5,24,0,8.021899999997851,0.7082640405723547,7.661322485215055,0.7404811605306418,3,7.824,3,7.824,7404,2.4285714285714284,11.0
5,24,0,8.021899999997851,0.7082640405723547,7.661322485215055,0.7404811605306418,1,8.52,1,8.52,12034,2.076923076923077,11.0
5,24,0,8.021899999997851,0.7082640405723547,7.661322485215055,0.7404811605306418,4,8.201,1,7.729,27831,1.2641509433962264,11.0
5,24,0,8.021899999997851,0.7082640405723547,7.661322485215055,0.7404811605306418,2,9.463,1,8.816,4478,0.875,11.0
5,24,0,8.021899999997851,0.7082640405723547,7.661322485215055,0.7404811605306418,4,7.861,1,7.759,9971,1.6666666666666667,11.0
5,24,0,8.021899999997851,0.7082640405723547,7.661322485215055,0.7404811605306418,0,7.222,3,6.519,4379,4.0,11.0
5,24,0,8.021899999997851,0.7082640405723547,7.661322485215055,0.7404811605306418,4,7.98,4,7.98,12161,3.1379310344827585,11.0
5,24,0,8.021899999997851,0.7082640405723547,7.661322485215055,0.7404811605306418,4,8.91,2,8.317,7790,0.6901408450704225,11.0
5,24,0,8.021899999997851,0.7082640405723547,7.661322485215055,0.7404811605306418,0,8.732,0,8.732,3766,1.0338983050847457,11.0
5,24,0,8.021899999997851,0.7082640405723547,7.661322485215055,0.7404811605306418,2,8.051,2,8.051,1827,3.1379310344827585,11.0
5,24,0,8.021899999997851,0.7082640405723547,7.661322485215055,0.7404811605306418,1,8.28,1,8.28,9207,2.5294117647058822,11.0
5,24,0,8.021899999997851,0.7082640405723547,7.661322485215055,0.7404811605306418,3,8.361,3,8.361,4816,1.7272727272727273,11.0
5,24,0,8.021899999997851,0.7082640405723547,7.661322485215055,0.7404811605306418,2,8.381,2,8.381,10299,1.7272727272727273,11.0
5,24,0,8.021899999997851,0.7082640405723547,7.661322485215055,0.7404811605306418,4,8.571,0,7.462,12957,1.7272727272727273,11.0
5,24,0,8.021899999997851,0.7082640405723547,7.798300229948533,0.7494596187468547,0,8.706,2,7.51,2965,2.1578947368421053,4.454545454545454
5,24,0,8.021899999997851,0.7082640405723547,7.798300229948533,0.7494596187468547,4,8.791,4,8.791,7109,1.7272727272727273,4.454545454545454
5,24,0,8.021899999997851,0.7082640405723547,7.798300229948533,0.7494596187468547,2,8.5,2,8.5,4482,1.2641509433962264,4.454545454545454
5,24,0,8.021899999997851,0.7082640405723547,7.798300229948533,0.7494596187468547,2,7.036,2,7.036,379,39.0,4.454545454545454
5,24,0,8.021899999997851,0.7082640405723547,7.798300229948533,0.7494596187468547,3,8.689,3,8.689,16978,2.1578947368421053,4.454545454545454
5,24,0,8.021899999997851,0.7082640405723547,7.798300229948533,0.7494596187468547,1,9.404,1,9.404,8283,0.4117647058823529,4.454545454545454
5,24,0,8.021899999997851,0.7082640405723547,7.798300229948533,0.7494596187468547,4,8.894,4,8.894,2571,2.6363636363636362,4.454545454545454
