nop,$\mu_{m}$,success_rate,avg_pvalue,Wrong_ranking_cost_without_no,Wrong_ranking_cost_with_no_proportion
10,270,0.928,0.15004099228692522,0.02675555555555548,0.026399999999999927
10,290,0.91,0.139766242878624,0.026755555555555477,0.026799999999999925
10,310,0.922,0.1408772985024082,0.024111111111111038,0.0242666666666666
10,330,0.93,0.142333805678126,0.02508888888888882,0.02497777777777771
10,350,0.926,0.14158578837596722,0.02331111111111105,0.023155555555555495
10,370,0.91,0.1486636425601536,0.02542222222222215,0.025333333333333263
10,390,0.924,0.14139623848168584,0.022977777777777715,0.022888888888888827
10,410,0.91,0.15755552292328864,0.022333333333333275,0.022133333333333276
10,430,0.932,0.1382531407667638,0.021955555555555496,0.02222222222222216
10,450,0.952,0.13553555247630178,0.019777777777777727,0.01968888888888884
10,470,0.95,0.14484241073811313,0.021044444444444393,0.02111111111111106
10,490,0.948,0.11653515224641095,0.018399999999999948,0.018311111111111056
10,510,0.94,0.1241354656959697,0.01937777777777773,0.019244444444444397
10,530,0.932,0.13554772502686885,0.01928888888888884,0.019022222222222173
10,550,0.942,0.10873246415694501,0.019555555555555503,0.019333333333333282
10,570,0.952,0.09335822237472512,0.017977777777777735,0.017999999999999957
10,590,0.93,0.11484549820769882,0.01688888888888885,0.01688888888888885
10,610,0.954,0.09747577851876546,0.0176444444444444,0.01773333333333329
10,630,0.942,0.11363969768833813,0.01733333333333329,0.017288888888888847
10,650,0.944,0.11901313118944157,0.01662222222222218,0.016533333333333292
10,670,0.936,0.11494744517863117,0.015511111111111073,0.01546666666666663
10,690,0.93,0.12739725519232906,0.015999999999999962,0.015999999999999962
10,710,0.942,0.11017873395887633,0.0174444444444444,0.01742222222222218
10,730,0.964,0.07988309486533826,0.015599999999999965,0.015911111111111077
10,750,0.948,0.11731599336008693,0.015555555555555517,0.01559999999999996
10,770,0.94,0.10470282202506688,0.01557777777777774,0.015511111111111076
10,790,0.934,0.11798176942561554,0.01506666666666663,0.015111111111111073
10,810,0.948,0.09151327439730363,0.015399999999999959,0.015422222222222183
10,830,0.964,0.09779997566919858,0.01519999999999996,0.015022222222222185
10,850,0.956,0.09163828618505035,0.016133333333333295,0.01631111111111107
10,870,0.956,0.08866265085381095,0.01606666666666663,0.01599999999999996
10,890,0.958,0.09566414394605462,0.014622222222222188,0.014799999999999968
10,910,0.968,0.09372009678912911,0.0137333333333333,0.013599999999999966
10,930,0.964,0.08047588679206226,0.015133333333333297,0.015288888888888852
10,950,0.954,0.09449794305635079,0.0145333333333333,0.014622222222222188
10,970,0.946,0.11691430859226896,0.013422222222222191,0.01311111111111108
10,990,0.938,0.09353331240859579,0.015711111111111075,0.015822222222222185
10,1010,0.964,0.0782882235090813,0.013022222222222192,0.012977777777777748
10,1030,0.964,0.0814099863443852,0.012955555555555526,0.012755555555555525
10,1050,0.958,0.08027606483762743,0.013488888888888856,0.013377777777777744
10,1070,0.95,0.09200558339478407,0.01497777777777774,0.015066666666666628
10,1090,0.95,0.08958129104822864,0.013844444444444406,0.013866666666666628
10,1110,0.96,0.08054974645994421,0.012755555555555525,0.012844444444444414
10,1130,0.954,0.08784499702968626,0.012311111111111082,0.012311111111111083
10,1150,0.936,0.10493359172662747,0.013799999999999967,0.013644444444444412
10,1170,0.946,0.10247246918941788,0.013066666666666634,0.013288888888888855
10,1190,0.952,0.07952721115662603,0.012911111111111082,0.012799999999999971
10,1210,0.968,0.07963369801750499,0.01217777777777775,0.01208888888888886
10,1230,0.95,0.08239843868759927,0.013111111111111079,0.013066666666666634
10,1250,0.958,0.07290007553273369,0.012999999999999966,0.012977777777777744
10,1270,0.968,0.07927022527093637,0.01166666666666664,0.011955555555555525
10,1290,0.954,0.08875541449662863,0.011488888888888861,0.011333333333333305
10,1310,0.962,0.08895100939368535,0.012399999999999968,0.012533333333333303
10,1330,0.97,0.0774126865417161,0.011755555555555528,0.011688888888888863
10,1350,0.972,0.07509195137295897,0.013266666666666635,0.013377777777777745
10,1370,0.968,0.07353774965391525,0.011822222222222194,0.011822222222222194
10,1390,0.974,0.07534184909206813,0.011288888888888862,0.011199999999999974
10,1410,0.956,0.07745201551056925,0.011399999999999976,0.011511111111111087
10,1430,0.958,0.07269193428439648,0.011333333333333308,0.011199999999999976
10,1450,0.964,0.06647110815740197,0.011799999999999974,0.011911111111111082
10,1470,0.966,0.08387396263950495,0.011733333333333306,0.01199999999999997
10,1490,0.972,0.06677919784796735,0.01104444444444442,0.011022222222222197
