$\mu_{h_1}$,$\mu_{h_2}$,$\mu_{x_1}$,$\mu_{x_2}$,success_rate,Average p-value,Wrong_ranking_cost_without_no_proportion
0.1,0.1,14.0,14.0,0.52,1.0,0.5
0.1,0.1,14.1,14.1,0.52,1.0,0.5
0.1,0.1,14.2,14.2,0.478,1.0,0.5
0.1,0.1,14.3,14.3,0.522,1.0,0.5
0.1,0.1,14.4,14.4,0.518,1.0,0.5
0.1,0.1,14.5,14.5,0.504,1.0,0.5
0.1,0.1,14.6,14.6,0.512,1.0,0.5
0.1,0.1,14.7,14.7,0.478,1.0,0.5
0.1,0.1,14.8,14.8,0.496,1.0,0.5
0.1,0.1,14.9,14.9,0.5,1.0,0.5
0.1,0.1,15.0,15.0,0.476,1.0,0.5
0.2,0.2,0.0,0.0,0.978,0.029346612779227853,0.021
0.2,0.2,0.1,0.1,0.986,0.034939550175424154,0.013
0.2,0.2,0.2,0.2,0.994,0.02431572885767846,0.006
0.2,0.2,0.3,0.3,0.978,0.030706319728041595,0.022
0.2,0.2,0.4,0.4,0.98,0.02963737602975524,0.019
0.2,0.2,0.5,0.5,0.984,0.03229595183857738,0.015
0.2,0.2,0.6,0.6,0.986,0.03484164943262752,0.015
0.2,0.2,0.7,0.7,0.982,0.027059003668480217,0.018
0.2,0.2,0.8,0.8,0.988,0.03070461554372372,0.011
0.2,0.2,0.9,0.9,0.996,0.030369815086471477,0.005
0.2,0.2,1.0,1.0,0.988,0.028577604044242158,0.012
0.2,0.2,1.1,1.1,0.98,0.032956858356261935,0.021
0.2,0.2,1.2,1.2,0.98,0.0405000140791026,0.019
0.2,0.2,1.3,1.3,0.98,0.041308550059866014,0.019
0.2,0.2,1.4,1.4,0.982,0.035983672454607624,0.018
0.2,0.2,1.5,1.5,0.972,0.03925415373775782,0.024
0.2,0.2,1.6,1.6,0.982,0.036351376207384746,0.018
0.2,0.2,1.7,1.7,0.98,0.042800302937757814,0.022
0.2,0.2,1.8,1.8,0.972,0.05114132583557195,0.028
0.2,0.2,1.9,1.9,0.97,0.06314613645217773,0.031
0.2,0.2,2.0,2.0,0.958,0.07710256927741736,0.042
0.2,0.2,2.1,2.1,0.966,0.07861833454332565,0.036
0.2,0.2,2.2,2.2,0.964,0.08640610371304533,0.044
0.2,0.2,2.3,2.3,0.942,0.07648920441121876,0.051
0.2,0.2,2.4,2.4,0.966,0.07661034386299546,0.041
0.2,0.2,2.5,2.5,0.944,0.1139858816300782,0.054
0.2,0.2,2.6,2.6,0.94,0.12986500151676242,0.064
0.2,0.2,2.7,2.7,0.936,0.13332671398066595,0.066
0.2,0.2,2.8,2.8,0.924,0.16307117219269168,0.082
0.2,0.2,2.9,2.9,0.914,0.19014988288079487,0.078
0.2,0.2,3.0,3.0,0.866,0.26144846581241854,0.133
0.2,0.2,3.1,3.1,0.894,0.23416516544899538,0.107
0.2,0.2,3.2,3.2,0.89,0.24852043733177845,0.113
0.2,0.2,3.3,3.3,0.84,0.2851770305033304,0.145
0.2,0.2,3.4,3.4,0.83,0.3491647787765778,0.161
0.2,0.2,3.5,3.5,0.826,0.37434367122911977,0.174
0.2,0.2,3.6,3.6,0.798,0.4080234470229599,0.203
0.2,0.2,3.7,3.7,0.788,0.4597277334934993,0.21
0.2,0.2,3.8,3.8,0.798,0.4735026443020632,0.228
0.2,0.2,3.9,3.9,0.728,0.5299716629206509,0.254
0.2,0.2,4.0,4.0,0.714,0.5623279234793561,0.273
0.2,0.2,4.1,4.1,0.738,0.5914424809898625,0.282
0.2,0.2,4.2,4.2,0.68,0.6682751240812353,0.314
0.2,0.2,4.3,4.3,0.704,0.6713089756441539,0.326
0.2,0.2,4.4,4.4,0.648,0.7558308785677192,0.361
0.2,0.2,4.5,4.5,0.64,0.7730962419281803,0.371
0.2,0.2,4.6,4.6,0.6,0.7974189209921667,0.387
0.2,0.2,4.7,4.7,0.566,0.8100780569159619,0.394
0.2,0.2,4.8,4.8,0.578,0.8371489531238961,0.414
0.2,0.2,4.9,4.9,0.614,0.8701586967455561,0.423
0.2,0.2,5.0,5.0,0.582,0.8777179783202249,0.435
