n,$\mu_{m_1}$,$\sigma_{m_1}$,$\mu_{h_{pred}}$,$\sigma_{h_{pred}}$,$\mu_{h_1}$,$\sigma_{h_1}$,$x_{max}$ opt No.,$x_{max}$,$CDM$ opt No.,$CDM$,Iterations,no:yes
3,40,0,7.570799999998902,0.6789800056229955,7.479916464241256,0.5635401575572816,2,8.374,0,7.663,19177,0.30431474839691336
3,40,0,7.570799999998902,0.6789800056229955,7.479916464241256,0.5635401575572816,2,7.235,2,7.235,1750,6.0552616108171655
3,40,0,7.570799999998902,0.6789800056229955,7.479916464241256,0.5635401575572816,2,7.533,2,7.533,11705,3.2845412352731165
3,40,0,7.570799999998902,0.6789800056229955,7.479916464241256,0.5635401575572816,2,8.086,2,8.086,652,1.2219959266802445
3,40,0,7.570799999998902,0.6789800056229955,7.479916464241256,0.5635401575572816,0,6.933,2,6.732,6396,16.119828815977176
2,60,0,7.1,0.6557359594276456,7.465884188542968,0.5548888025779714,1,6.776,1,6.776,448,28.92768079800499
2,60,0,7.1,0.6557359594276456,7.465884188542968,0.5548888025779714,0,7.102,0,7.102,456,10.989010989010989
2,60,0,7.1,0.6557359594276456,7.465884188542968,0.5548888025779714,1,6.4,1,6.4,505,117.82178217821782
2,60,0,7.1,0.6557359594276456,7.465884188542968,0.5548888025779714,1,8.912,1,8.912,5853,0.4457294301891338
2,60,0,7.1,0.6557359594276456,7.465884188542968,0.5548888025779714,0,7.354,0,7.354,16044,3.443169196593854
2,60,0,7.1,0.6557359594276456,7.465884188542968,0.5548888025779714,1,7.654,1,7.654,369,1.9263594245306024
2,60,0,7.1,0.6557359594276456,7.465884188542968,0.5548888025779714,1,7.87,1,7.87,318,1.499687565090606
2,60,0,7.1,0.6557359594276456,7.465884188542968,0.5548888025779714,0,7.684,0,7.684,5252,0.7909267273541262
2,60,0,7.1,0.6557359594276456,7.465884188542968,0.5548888025779714,0,9.013,0,9.013,489,0.9998333611064822
2,60,0,7.1,0.6557359594276456,7.465884188542968,0.5548888025779714,1,6.938,0,6.57,21089,9.900090826521344
2,60,0,7.1,0.6557359594276456,7.451167313445002,0.5481792703046275,0,8.587,0,8.587,396,1.0337230977800373
2,60,0,7.1,0.6557359594276456,7.451167313445002,0.5481792703046275,0,7.276,1,7.247,7061,1.6662963785825373
2,60,0,7.1,0.6557359594276456,7.451167313445002,0.5481792703046275,0,7.166,0,7.166,476,3.798480607756897
2,60,0,7.1,0.6557359594276456,7.451167313445002,0.5481792703046275,0,10.351,0,10.351,3962,0.016947716295229218
2,60,0,7.1,0.6557359594276456,7.451167313445002,0.5481792703046275,0,6.88,0,6.88,482,10.989010989010989
2,60,0,7.1,0.6557359594276456,7.451167313445002,0.5481792703046275,1,8.96,1,8.96,1794,0.6900436558231234
2,60,0,7.1,0.6557359594276456,7.451167313445002,0.5481792703046275,0,8.363,0,8.363,361,0.7909267273541262
2,60,0,7.1,0.6557359594276456,7.451167313445002,0.5481792703046275,1,8.603,1,8.603,2631,0.558369042981431
2,60,0,7.1,0.6557359594276456,7.451167313445002,0.5481792703046275,0,6.966,0,6.966,448,10.989010989010989
2,60,0,7.1,0.6557359594276456,7.451167313445002,0.5481792703046275,0,6.827,1,6.768,2503,13.982521847690387
3,40,0,7.570799999998902,0.6789800056229955,7.437354628922589,0.5431331510825924,0,7.297,0,7.297,14960,2.4278777492145105
3,40,0,7.570799999998902,0.6789800056229955,7.437354628922589,0.5431331510825924,2,7.912,1,6.992,9463,0.6437474318586495
3,40,0,7.570799999998902,0.6789800056229955,7.437354628922589,0.5431331510825924,1,8.756,1,8.756,3579,0.2631301968213872
3,40,0,7.570799999998902,0.6789800056229955,7.437354628922589,0.5431331510825924,1,7.669,1,7.669,6391,1.8567007855272555
3,40,0,7.570799999998902,0.6789800056229955,7.437354628922589,0.5431331510825924,2,7.84,2,7.84,13085,0.4457294301891338
3,40,0,7.570799999998902,0.6789800056229955,7.437354628922589,0.5431331510825924,0,7.568,0,7.568,2268,1.8567007855272555
3,40,0,7.570799999998902,0.6789800056229955,7.437354628922589,0.5431331510825924,2,7.946,2,7.946,4231,1.9263594245306024
3,40,0,7.570799999998902,0.6789800056229955,7.437354628922589,0.5431331510825924,0,7.706,0,7.706,471,2.9990003332222592
3,40,0,7.570799999998902,0.6789800056229955,7.437354628922589,0.5431331510825924,2,8.847,2,8.847,303,1.9995001249687578
3,40,0,7.570799999998902,0.6789800056229955,7.437354628922589,0.5431331510825924,0,7.838,0,7.838,540,2.33268536517634
4,30,0,7.8384999999982785,0.6954719188552911,7.424494664519565,0.5391152476254144,2,7.876,2,7.876,7377,1.7268802544876165
4,30,0,7.8384999999982785,0.6954719188552911,7.424494664519565,0.5391152476254144,1,8.518,1,8.518,15493,0.5999200106652446
4,30,0,7.8384999999982785,0.6954719188552911,7.424494664519565,0.5391152476254144,0,8.808,1,7.978,3565,1.0687812446129978
4,30,0,7.8384999999982785,0.6954719188552911,7.424494664519565,0.5391152476254144,3,8.816,0,7.289,22714,1.8567007855272555
4,30,0,7.8384999999982785,0.6954719188552911,7.424494664519565,0.5391152476254144,0,8.064,3,7.963,8237,1.1816033448463916
4,30,0,7.8384999999982785,0.6954719188552911,7.424494664519565,0.5391152476254144,3,6.988,3,6.988,10693,10.989010989010989
4,30,0,7.8384999999982785,0.6954719188552911,7.424494664519565,0.5391152476254144,1,8.533,1,8.533,8051,2.0763906690592155
4,30,0,7.8384999999982785,0.6954719188552911,7.424494664519565,0.5391152476254144,2,7.273,2,7.273,3804,4.712041884816753
4,30,0,7.8384999999982785,0.6954719188552911,7.424494664519565,0.5391152476254144,1,8.058,1,8.058,10770,0.8748633026089673
4,30,0,7.8384999999982785,0.6954719188552911,7.424494664519565,0.5391152476254144,0,8.317,0,8.317,2774,0.6665740869323704
