$\mu_{h_1}$,$\mu_{h_2}$,$\mu_{x_1}$,$\mu_{x_2}$,success_rate,Average p-value,Wrong_ranking_cost_without_no_proportion
0.1,0.1,13.4,13.4,0.048,,
0.1,0.1,13.5,13.5,0.042,,
0.1,0.1,13.6,13.6,0.064,,
0.1,0.1,13.7,13.7,0.066,,
0.1,0.1,13.8,13.8,0.058,,
0.1,0.1,13.9,13.9,0.044,,
0.1,0.1,14.0,14.0,0.05,,
0.1,0.1,14.1,14.1,0.038,,
0.1,0.1,14.2,14.2,0.046,,
0.1,0.1,14.3,14.3,0.052,,
0.1,0.1,14.4,14.4,0.046,,
0.1,0.1,14.5,14.5,0.062,,
0.1,0.1,14.6,14.6,0.048,,
0.1,0.1,14.7,14.7,0.05,,
0.1,0.1,14.8,14.8,0.054,,
0.1,0.1,14.9,14.9,0.04,,
0.1,0.1,15.0,15.0,0.048,,
0.2,0.2,0.0,0.0,0.772,,
0.2,0.2,0.1,0.1,0.744,,
0.2,0.2,0.2,0.2,0.72,,
0.2,0.2,0.3,0.3,0.678,,
0.2,0.2,0.4,0.4,0.654,,
0.2,0.2,0.5,0.5,0.654,,
0.2,0.2,0.6,0.6,0.604,,
0.2,0.2,0.7,0.7,0.576,,
0.2,0.2,0.8,0.8,0.56,,
0.2,0.2,0.9,0.9,0.502,,
0.2,0.2,1.0,1.0,0.478,,
0.2,0.2,1.1,1.1,0.446,,
0.2,0.2,1.2,1.2,0.444,,
0.2,0.2,1.3,1.3,0.37,,
0.2,0.2,1.4,1.4,0.344,,
0.2,0.2,1.5,1.5,0.298,,
0.2,0.2,1.6,1.6,0.248,,
